"shapeid","osm_id","name","highway","waterway","aerialway","barrier","man_made","z_order","other_tags"
"28","9429202","Magnus Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""122101"",""width""=>""12.2"""
"29","8604785","Central Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""1"",""massgis:way_id""=>""176861"",""oneway""=>""yes"",""width""=>""12.2"""
"30","9429208","Ibbetson Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""209636"",""width""=>""12.2"""
"31","9429209","Park Place","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""123121"",""width""=>""9.1"""
"32","8604813","Monsignor O'Brien Highway","trunk","NULL","NULL","NULL","NULL","8","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""3"",""massgis:way_id""=>""159753"",""oneway""=>""yes"",""ref""=>""MA 28"",""width""=>""30.5"""
"33","9429228","Kent Court","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""178043"",""width""=>""7.3"""
"34","9429231","Belmont Square","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""129597"",""width""=>""8.8"""
"35","9429242","Willoughby Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""113056"",""width""=>""12.2"""
"36","8604852","Porter Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""149002"",""width""=>""13.4"""
"37","8604858","Webster Avenue","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""deficient"",""cycleway""=>""lane"",""lanes""=>""2"",""massgis:way_id""=>""132257"",""oneway""=>""yes"",""width""=>""15.2"""
"38","9429244","Hillside Park","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""138387"",""sidewalk""=>""both"",""width""=>""12.2"""
"39","9429250","Linden Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""151757"",""width""=>""13.7"""
"40","8604870","Central Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""1"",""massgis:way_id""=>""176861"",""oneway""=>""yes"",""width""=>""9.1"""
"41","9429254","Dana Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""128281"",""oneway""=>""yes"",""width""=>""12.2"""
"42","9429272","Linden Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""150785"",""width""=>""9.1"""
"43","8604879","Medford Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""1"",""massgis:way_id""=>""179856"",""oneway""=>""yes"",""width""=>""15.2"""
"44","8604881","Prospect Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""shared_lane"",""lanes""=>""3"",""lanes:backward""=>""2"",""lanes:forward""=>""1"",""massgis:ref""=>""0 N325"",""massgis:way_id""=>""177682"""
"45","9429276","Carter Terrace","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""174232"",""width""=>""11.3"""
"46","8604884","Merriam Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""151070"",""oneway""=>""yes"",""width""=>""12.2"""
"47","8604962","Beacon Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:ref""=>""0 N324"",""massgis:way_id""=>""143237"",""width""=>""18.3"""
"48","9429279","Bow Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""lane"",""lanes""=>""1"",""massgis:way_id""=>""122081"",""oneway""=>""yes"",""width""=>""15.2"""
"49","9429282","Smith Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""1"",""massgis:way_id""=>""116786"",""oneway""=>""yes"",""width""=>""7.0"""
"50","9429289","Jasper Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""142690"",""width""=>""12.2"""
"51","8605061","Washington Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:ref""=>""0 N334"",""massgis:way_id""=>""116133"",""width""=>""18.3"""
"52","242252161","Granby Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""196243"",""width""=>""18.3"""
"53","8605077","Gibbens Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""129981"",""width""=>""12.2"""
"54","9429290","Macarthur Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""162502"",""width""=>""12.2"""
"55","8605079","Washington Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:ref""=>""0 N334"",""massgis:way_id""=>""116133"",""width""=>""18.3"""
"56","242377199","NULL","primary_link","NULL","NULL","NULL","NULL","7","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""lanes""=>""1"",""massgis:ref""=>""0 N389"",""massgis:way_id""=>""186736"",""oneway""=>""yes"""
"57","8605084","Adelaide Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""166420"",""width""=>""6.1"""
"58","9429294","Cutter Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""139605"",""oneway""=>""yes"",""width""=>""12.2"""
"59","8605096","Church Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""168853"",""oneway""=>""yes"",""width""=>""12.2"""
"60","242377200","NULL","primary_link","NULL","NULL","NULL","NULL","7","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""lanes""=>""1"",""massgis:ref""=>""0 N389"",""massgis:way_id""=>""186736"",""oneway""=>""yes"""
"61","8605101","Medford Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""115314"",""width""=>""16.8"""
"62","9429296","Durham Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""168549"",""oneway""=>""yes"",""width""=>""12.2"""
"63","8605142","Monmouth Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""120562"",""width""=>""11.3"""
"64","242377201","NULL","service","NULL","NULL","NULL","NULL","0","NULL"
"65","8605168","Dane Street","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""deficient"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""209761"",""width""=>""12.2"""
"66","9429297","Turner Court","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""176146"",""surface""=>""unpaved"",""width""=>""5.5"""
"67","8605169","Dane Street","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""deficient"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""209761"",""width""=>""12.2"""
"68","242382135","NULL","footway","NULL","NULL","NULL","NULL","0","""bicycle""=>""yes"""
"69","8605193","Linwood Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""199755"",""width""=>""15.2"""
"70","242382136","NULL","footway","NULL","NULL","NULL","NULL","0","""bicycle""=>""yes"""
"71","8605205","Washington Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""lane"",""lanes""=>""2"",""massgis:ref""=>""0 N334"",""massgis:way_id""=>""116133"",""width""=>""21.3"""
"72","9429302","Crown Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""166174"",""width""=>""9.1"""
"73","8605207","Washington Street","secondary","NULL","NULL","NULL","NULL","16","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""bridge""=>""yes"",""condition""=>""good"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""190766"",""width""=>""18.3"""
"74","242386433","Dr. Paul Dudley White Path","cycleway","NULL","NULL","NULL","NULL","20","""bridge""=>""yes"",""foot""=>""yes"",""layer""=>""1"",""surface""=>""asphalt"""
"75","8605208","Washington Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""190766"",""width""=>""18.3"""
"76","9429304","Quincy Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""140351"",""oneway""=>""yes"",""width""=>""12.2"""
"77","8605216","Prospect Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:ref""=>""0 N325"",""massgis:way_id""=>""177682"",""maxspeed""=>""30 mph"",""source:maxspeed""=>""m"
"78","242386434","Dr. Paul Dudley White Path","cycleway","NULL","NULL","NULL","NULL","0","""foot""=>""yes"",""surface""=>""asphalt"""
"79","8605218","Medford Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""115314"",""oneway""=>""yes"",""width""=>""15.2"""
"80","9429306","Marion Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""162314"",""oneway""=>""yes"",""width""=>""12.2"""
"81","8605225","Medford Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""115314"",""oneway""=>""yes"",""width""=>""15.2"""
"82","242387972","NULL","footway","NULL","NULL","NULL","NULL","0","""bicycle""=>""dismount"",""foot""=>""yes"""
"83","8605229","Prospect Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""hgv""=>""yes"",""lanes""=>""3"",""massgis:ref""=>""0 N325"",""massgis:way_id""=>""177682"",""maxspeed""=>""30 mph"",""oneway""=>""yes"",""source:hgv""=>""MassGIS"",""source:maxspeed""="
"84","242393421","NULL","footway","NULL","NULL","NULL","NULL","0","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""yes"",""cycleway""=>""track"",""foot""=>""yes"""
"85","8605266","Church Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""168853"",""width""=>""12.2"""
"86","242395305","Exeter Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""125110"",""oneway""=>""yes"",""width""=>""17.1"""
"87","307952827","NULL","footway","NULL","NULL","NULL","NULL","0","NULL"
"88","8605291","Osgood Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""197431"",""width""=>""12.2"""
"89","242514638","NULL","trunk_link","NULL","NULL","NULL","NULL","8","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:ref""=>""0 N407"",""massgis:way_id""=>""179927"",""oneway""=>""yes"",""width""=>""18.3"""
"90","307952828","NULL","footway","NULL","NULL","NULL","NULL","0","NULL"
"91","242515006","Charlesgate West","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:ref""=>""0 N408"",""massgis:way_id""=>""184059"",""oneway""=>""yes"",""width""=>""21.3"""
"92","8605306","Warren Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""207152"",""oneway""=>""yes"",""width""=>""9.1"""
"93","9429316","Cross Street East","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""198065"",""width""=>""12.2"""
"94","8605310","Concord Avenue","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""211327"",""width""=>""24.4"""
"95","242520458","Storrow Drive","trunk","NULL","NULL","NULL","NULL","8","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""hgv""=>""no"",""lanes""=>""2"",""massgis:ref""=>""0 N082"",""massgis:way_id""=>""151159"",""oneway""=>""yes"",""width""=>""30.2"""
"96","8605323","Oliver Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""134058"",""oneway""=>""yes"",""width""=>""12.2"""
"97","242536052","Brimmer Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""149427"",""oneway""=>""yes"",""width""=>""11.9"""
"98","242536053","David G. Mugar Way","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""130454"",""oneway""=>""yes"",""ref""=>""MA 28"",""width""=>""9.5"""
"99","8605345","Franklin Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""199972"",""oneway""=>""yes"",""width""=>""12.2"""
"100","9429319","Clark Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""148925"",""oneway""=>""yes"",""width""=>""10.7"""
"101","8605351","NULL","secondary_link","NULL","NULL","NULL","NULL","6","""bicycle""=>""yes"",""cycleway""=>""shared_lane"",""lanes""=>""1"",""oneway""=>""yes"""
"102","242536054","Otis Place","residential","NULL","NULL","NULL","NULL","3","""access""=>""private"",""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""202564"",""width""=>""8.5"""
"103","8605356","Summer Street","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""massgis:way_id""=>""212423"",""oneway""=>""yes"",""sidewalk""=>""both"",""width""=>""13.7"""
"104","9429324","Greene Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""207590"",""oneway""=>""yes"",""width""=>""12.2"""
"105","8605381","Highland Avenue","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""fair"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""167315"",""route""=>""bicycle"",""width""=>""18.3"""
"106","242536372","NULL","footway","NULL","NULL","NULL","NULL","0","NULL"
"107","8605423","Dane Street","tertiary","NULL","NULL","NULL","NULL","14","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""bridge""=>""yes"",""condition""=>""deficient"",""cycleway""=>""shared_lane"",""hgv""=>""yes"",""lanes""=>""2"",""massgis:way_id""=>""209761"",""source:hgv""=>""MassGIS"",""width""="
"108","242536776","NULL","steps","NULL","NULL","NULL","NULL","0","""cycleway""=>""track"",""foot""=>""yes"""
"109","8605463","Monmouth Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""120562"",""width""=>""12.2"""
"110","9429326","Fountain Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""178050"",""oneway""=>""yes"",""width""=>""9.1"""
"111","242536777","NULL","cycleway","NULL","NULL","NULL","NULL","0","""cycleway""=>""track"",""foot""=>""yes"""
