"shapeid","osm_id","name","highway","waterway","aerialway","barrier","man_made","z_order","other_tags"
"21","8604881","Prospect Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""shared_lane"",""lanes""=>""3"",""lanes:backward""=>""2"",""lanes:forward""=>""1"",""massgis:ref""=>""0 N325"",""massgis:way_id""=>""177682"",""maxspeed""=>""30 mph"",""source:maxspeed""=>""massgis"",""turn:lanes:backward""=>""right|right"",""width""=>""15.2"""
"22","8604884","Merriam Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""151070"",""oneway""=>""yes"",""width""=>""12.2"""
"23","8604962","Beacon Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:ref""=>""0 N324"",""massgis:way_id""=>""143237"",""width""=>""18.3"""
"24","8604965","Buena Vista Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""127873"",""width""=>""9.1"""
"25","8604974","Newberne Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""121194"",""oneway""=>""yes"",""width""=>""12.2"""
"26","8605023","Arlington Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""119219"",""oneway""=>""yes"",""width""=>""12.2"""
"27","8605024","Sycamore Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""200173"",""oneway""=>""yes"",""width""=>""14.6"""
"28","8605053","Evergreen Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""134233"",""oneway""=>""yes"",""width""=>""12.2"""
"29","8605056","Saint James Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""181490"",""width""=>""12.2"""
"30","8605061","Washington Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:ref""=>""0 N334"",""massgis:way_id""=>""116133"",""width""=>""18.3"""
"31","8605077","Gibbens Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""129981"",""width""=>""12.2"""
"32","8605079","Washington Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:ref""=>""0 N334"",""massgis:way_id""=>""116133"",""width""=>""18.3"""
"33","8605084","Adelaide Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""166420"",""width""=>""6.1"""
"34","8605089","Middlesex Avenue","primary","NULL","NULL","NULL","NULL","7","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""110437"",""oneway""=>""yes"",""width""=>""24.4"""
"35","8605095","Middlesex Avenue","primary","NULL","NULL","NULL","NULL","7","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""massgis:way_id""=>""110437"",""oneway""=>""yes"""
"36","8605096","Church Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""168853"",""oneway""=>""yes"",""width""=>""12.2"""
"37","8605101","Medford Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""115314"",""width""=>""16.8"""
"38","8605107","Charles E Ryan Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""198012"",""width""=>""12.2"""
"39","8605127","Summer Street","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""yes"",""condition""=>""fair"",""cycleway""=>""no"",""lanes""=>""1"",""massgis:way_id""=>""212423"",""oneway""=>""yes"",""width""=>""13.7"""
"40","8605142","Monmouth Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""120562"",""width""=>""11.3"""
"41","8605168","Dane Street","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""deficient"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""209761"",""width""=>""12.2"""
"42","8605169","Dane Street","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""deficient"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""209761"",""width""=>""12.2"""
"43","8605187","Meacham Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""165350"",""oneway""=>""yes"",""width""=>""12.2"""
"44","8605193","Linwood Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""199755"",""width""=>""15.2"""
"45","8605205","Washington Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""lane"",""lanes""=>""2"",""massgis:ref""=>""0 N334"",""massgis:way_id""=>""116133"",""width""=>""21.3"""
"46","8605207","Washington Street","secondary","NULL","NULL","NULL","NULL","16","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""bridge""=>""yes"",""condition""=>""good"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""190766"",""width""=>""18.3"""
"47","8605208","Washington Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""190766"",""width""=>""18.3"""
"48","8605214","Wilson Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""1"",""massgis:way_id""=>""211126"",""width""=>""6.1"""
"49","8605216","Prospect Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:ref""=>""0 N325"",""massgis:way_id""=>""177682"",""maxspeed""=>""30 mph"",""source:maxspeed""=>""massgis"",""width""=>""15.2"""
"50","8605218","Medford Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""115314"",""oneway""=>""yes"",""width""=>""15.2"""
"51","8605225","Medford Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""115314"",""oneway""=>""yes"",""width""=>""15.2"""
"52","8605229","Prospect Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""hgv""=>""yes"",""lanes""=>""3"",""massgis:ref""=>""0 N325"",""massgis:way_id""=>""177682"",""maxspeed""=>""30 mph"",""oneway""=>""yes"",""source:hgv""=>""MassGIS"",""source:maxspeed""=>""massgis"",""width""=>""13.7"""
"53","8605260","Saint James Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""181490"",""width""=>""9.1"""
"54","8605266","Church Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""168853"",""width""=>""12.2"""
"55","8605281","Whipple Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""165260"",""width""=>""9.1"""
"56","8605291","Osgood Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""197431"",""width""=>""12.2"""
"57","8605306","Warren Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""207152"",""oneway""=>""yes"",""width""=>""9.1"""
"58","8605310","Concord Avenue","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""211327"",""width""=>""24.4"""
"59","8605311","Broadway","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:ref""=>""0 N336"",""massgis:way_id""=>""122420"",""maxspeed""=>""30 mph"",""oneway""=>""yes"",""source:maxspeed""=>""massgis"",""width""=>""24.4"""
"60","8605312","Grove Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""yes"",""condition""=>""good"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""145331"",""width""=>""12.2"""
"61","8605323","Oliver Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""134058"",""oneway""=>""yes"",""width""=>""12.2"""
"62","8605331","Hancock Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""yes"",""condition""=>""good"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""114508"",""oneway""=>""yes"",""width""=>""12.2"""
"63","8605340","Chester Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""124711"",""width""=>""12.2"""
"64","8605342","Florence Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""186615"",""width""=>""12.2"""
"65","8605345","Franklin Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""199972"",""oneway""=>""yes"",""width""=>""12.2"""
"66","8605351","NULL","secondary_link","NULL","NULL","NULL","NULL","6","""bicycle""=>""yes"",""cycleway""=>""shared_lane"",""lanes""=>""1"",""oneway""=>""yes"""
"67","8605356","Summer Street","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""massgis:way_id""=>""212423"",""oneway""=>""yes"",""sidewalk""=>""both"",""width""=>""13.7"""
"68","8605370","Hancock Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""yes"",""condition""=>""good"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""114508"",""width""=>""15.2"""
"69","8605377","Tennyson Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""159896"",""oneway""=>""yes"",""width""=>""12.2"""
"70","8605381","Highland Avenue","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""fair"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""167315"",""route""=>""bicycle"",""width""=>""18.3"""
"71","8605394","Thurston Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""141971"",""oneway""=>""yes"",""width""=>""12.2"""
"72","8605417","Willow Avenue","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""yes"",""condition""=>""fair"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""160806"",""width""=>""15.2"""
"73","8605423","Dane Street","tertiary","NULL","NULL","NULL","NULL","14","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""bridge""=>""yes"",""condition""=>""deficient"",""cycleway""=>""shared_lane"",""hgv""=>""yes"",""lanes""=>""2"",""massgis:way_id""=>""209761"",""source:hgv""=>""MassGIS"",""width""=>""12.2"""
"74","8605436","Heath Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""108845"",""oneway""=>""yes"",""width""=>""12.2"""
"75","8605442","Broadway","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""122420"",""maxspeed""=>""30 mph"",""source:maxspeed""=>""massgis"",""width""=>""24.4"""
"76","8605463","Monmouth Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""120562"",""width""=>""12.2"""
"77","8605471","Broadway","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""122420"",""maxspeed""=>""30 mph"",""oneway""=>""yes"",""source:maxspeed""=>""massgis"",""width""=>""30.5"""
"78","8605474","Clyde Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""199521"",""oneway""=>""yes"",""width""=>""9.1"""
"79","8605480","Prichard Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""167049"",""oneway""=>""yes"",""width""=>""12.2"""
"80","8605490","Willow Avenue","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""yes"",""condition""=>""good"",""cycleway""=>""lane"",""lanes""=>""2"",""massgis:way_id""=>""160806"",""oneway""=>""yes"",""width""=>""15.2"""
"81","8605500","Sycamore Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""200173"",""oneway""=>""yes"",""width""=>""12.2"""
"82","8605524","Benton Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""189768"",""width""=>""12.2"""
"83","8605532","Winslow Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""146414"",""width""=>""12.2"""
"84","8605549","Prospect Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""3"",""massgis:ref""=>""0 N325"",""massgis:way_id""=>""177682"",""maxspeed""=>""30 mph"",""oneway""=>""yes"",""source:maxspeed""=>""massgis"",""turn:lanes""=>""left|left;through|through;right"",""width""=>""15.2"""
"85","8605568","Concord Avenue","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""211327"",""width""=>""9.1"""
"86","8605579","Newberne Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""121194"",""width""=>""12.2"""
"87","8605592","Fellsway","trunk","NULL","NULL","NULL","NULL","-12","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""layer""=>""-1"",""massgis:way_id""=>""210090"",""oneway""=>""yes"",""ref""=>""MA 28"",""tunnel""=>""yes"",""width""=>""45.7"""
"88","8605662","Central Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""1"",""massgis:way_id""=>""176861"",""oneway""=>""yes"",""width""=>""5.5"""
"89","8605671","NULL","unclassified","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""massgis:way_id""=>""274"""
"90","8605673","NULL","unclassified","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""massgis:way_id""=>""274"",""oneway""=>""yes"""
"91","8605680","NULL","service","NULL","NULL","NULL","NULL","0","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""massgis:way_id""=>""274"",""service""=>""driveway"""
"92","8605696","Washington Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""116133"",""oneway""=>""yes"",""width""=>""18.3"""
"93","8605698","Evergreen Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""134233"",""width""=>""12.2"""
"94","8605712","NULL","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""massgis:way_id""=>""274"",""oneway""=>""yes"""
"95","8605715","NULL","service","NULL","NULL","NULL","NULL","0","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""massgis:way_id""=>""274"""
"96","8605740","Concord Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""211327"",""oneway""=>""yes"",""width""=>""12.2"""
"97","8605743","NULL","service","NULL","NULL","NULL","NULL","0","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""massgis:way_id""=>""274"",""service""=>""driveway"""
"98","8605769","NULL","service","NULL","NULL","NULL","NULL","0","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""massgis:way_id""=>""274"""
"99","8605777","Highland Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""206567"",""width""=>""21.3"""
"100","8605786","NULL","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""massgis:way_id""=>""274"""
"101","8605789","Spring Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""147212"",""oneway""=>""yes"",""width""=>""12.2"""
"102","8605790","NULL","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""massgis:way_id""=>""274"",""oneway""=>""yes"""
"103","8605797","Arlington Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""119219"",""oneway""=>""yes"",""width""=>""12.2"""
"104","8605806","NULL","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""massgis:way_id""=>""274"""
"105","8605821","Fitchburg Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""intolerable"",""lanes""=>""2"",""massgis:way_id""=>""174975"",""surface""=>""bricks"",""width""=>""12.2"""
"106","8605831","Concord Avenue","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""211327"",""width""=>""12.5"""
"107","8605842","Eastman Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""151720"",""width""=>""12.2"""
